Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-10-18,Garden State,2004,https://boxd.it/7zHCwV,4.5,,i don’t care what anyone says i love this movie!!!!!!,,2024-10-17
2024-10-18,Woman of the Hour,2023,https://boxd.it/7A5HLz,4,,i love anna kendrick,,2024-10-18
2024-10-19,Like Father,2018,https://boxd.it/7AsqCV,2,,boring,,2024-10-19
2024-10-20,Journey 2: The Mysterious Island,2012,https://boxd.it/7AFaHB,2,,i mean it’s obvi not good but SOOOO pretty,,2024-10-19
2024-10-27,Kingsman: The Secret Service,2014,https://boxd.it/7EE6PZ,4,,he is finneeeeeee as hell,,2024-10-27
2024-10-27,The Virgin Suicides,1999,https://boxd.it/7EHuux,4,,you didn’t love her you left her asleep in a field by herself!!!!!!!!,,2024-10-27
2024-10-27,Kingsman: The Golden Circle,2017,https://boxd.it/7EJNW5,3,,i cant believe they killed the dog,,2024-10-27
2024-10-30,Fear,1996,https://boxd.it/7FZJfH,2,Yes,i’ve seen this once very long ago but i actually blocked it out this movie is horrific and disgusting,,2024-10-29
2024-10-30,Hocus Pocus,1993,https://boxd.it/7GnYEb,3,,sarah jessica parker is reaaalllyyy annoying,,2024-10-30
2024-11-04,The Substance,2024,https://boxd.it/7IDfOP,4.5,,i’ve never been more grossed in my entire life,,2024-11-03
2024-11-04,Ocean's Eight,2018,https://boxd.it/7IFoj1,4,,ignore never rated this,,
2024-11-04,Avengers: Endgame,2019,https://boxd.it/7JdkWh,4,Yes,yea i’ll always cry when nat dies,,2024-11-04
2024-11-05,Promising Young Woman,2020,https://boxd.it/7Jhmjf,3.5,,idk how i feel… she should’ve killed them all,,2024-11-04
2024-11-05,Fly Me to the Moon,2024,https://boxd.it/7JlJwT,3.5,,i am the target audience for this i love cheesy bad movies!!!!! i also love space,,2024-11-05
2024-11-06,Purple Hearts,2022,https://boxd.it/7JLrHL,0.5,,i tried to rewatch this because i thought maybe i was exaggerating how bad it was from when i first saw it but i’m 15 mins in and want to kill myself this movie is horrific,,
2024-11-09,Anora,2024,https://boxd.it/7KZuez,3.5,,first half was so good,,2024-11-08
2024-11-11,Hidden Figures,2016,https://boxd.it/7M3tAh,4,,AND I WORK LIKE A DOG DAY AND NIGHT LIVING OFF A COFFEE POT NONE OF YOU WANNA TOUCH!,,2024-11-10
2024-11-18,Palm Springs,2020,https://boxd.it/7PBR6Z,4.5,Yes,i love this movie,,2024-11-17
2024-11-25,Gladiator,2000,https://boxd.it/7T9O55,4.5,,bring back the roman empire,,2024-11-24
2024-11-29,Gladiator II,2024,https://boxd.it/7V60Ij,3.5,,i watched this for the naval battle scene in the colosseum ONLY,,2024-11-28
2024-12-01,Our Little Secret,2024,https://boxd.it/7W7TK1,1,,i mean obviously it’s bad,,2024-11-30
2024-12-01,Hot Frosty,2024,https://boxd.it/7WzqVF,0.5,,(didn’t finish this movie quite bored),,2024-12-01
2024-12-01,This Is the End,2013,https://boxd.it/7WFTWT,3,Yes,the freaks and geeks references are everything to me,,2024-12-01
2024-12-04,Red One,2024,https://boxd.it/7XN8NF,2,,i laughed a lot (but mostly at the movie not their jokes),,2024-12-03
2024-12-05,Wicked,2024,https://boxd.it/7YctGl,2.5,,wow that’s a long movie…,,2024-12-04
2024-12-05,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/7YtFDR,4,,wholeheartedly laughed throughout this entire movie,,2024-12-05
2024-12-10,Irish Wish,2024,https://boxd.it/817Lwl,1.5,,it’s kind of creative,,2024-12-10
2024-12-16,Moana 2,2024,https://boxd.it/84flJh,3,,not one singable song!!!!,,2024-12-16
2024-12-19,Moana,2016,https://boxd.it/85Iwvd,4,Yes,the songs are just so good,,2024-12-19
2024-12-20,My Old Ass,2024,https://boxd.it/85SXyj,4,,wow that was sad,,2024-12-19
2024-12-22,The Six Triple Eight,2024,https://boxd.it/870xuv,2.5,,what an interesting story,,2024-12-21
2025-01-03,Conclave,2024,https://boxd.it/8hgJSr,4,,shocked at how much i liked this…,,2025-01-02
2025-01-11,Interstellar,2014,https://boxd.it/8qkUg3,5,Yes,AHHSHDJJFISIFIIFIEKDJFIIJISKFKFKGK😭😭😭😭😭😭😭😭😭😭😭😭,,2025-01-11
2025-03-01,Babygirl,2024,https://boxd.it/8YMm95,3,,wow that man is fine,,2025-03-01
2025-03-02,Eyes Wide Shut,1999,https://boxd.it/8ZloC9,2,,really not my vibe,,2025-03-01
2025-03-06,Anora,2024,https://boxd.it/92wx8B,4,Yes,holds up 🙏🏼,,2025-03-06
2025-04-02,The Other Boleyn Girl,2008,https://boxd.it/9i6vYH,2.5,,wow what a bunch of cunts,,2025-04-01
2025-04-05,The Hunger Games,2012,https://boxd.it/9jA8J9,5,Yes,always incredible,,2025-04-04
2025-04-28,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9xP7GT,5,Yes,watching this in a cinema is INSANE,,2025-04-28
2025-04-28,Just Go with It,2011,https://boxd.it/9xUQj1,5,Yes,idc I LOVEEE THIS MOVIE!!!!!!!!!!!!,,2025-04-28
2025-04-29,The Hunger Games: Catching Fire,2013,https://boxd.it/9xXaLD,5,Yes,always perf,,2025-04-04
2025-04-29,Pixels,2015,https://boxd.it/9xZd4V,2.5,Yes,it’s obviously bad but where would we be without whimsy and fun,,2025-04-28
2025-05-01,Parthenope,2024,https://boxd.it/9yWVVx,3,,i don’t know…,,2025-04-30
2025-05-01,My Fault: London,2025,https://boxd.it/9yXTrH,0.5,,this might be the worst movie i’ve ever seen,,2025-04-30
2025-05-02,Ophelia,2018,https://boxd.it/9zvmDD,4,,idc what anyone says i love this movie,,2025-05-02
2025-06-22,"Everything, Everything",2017,https://boxd.it/a5cEwl,1.5,,watched on plane #boring,,2025-06-07
2025-07-07,Before Sunset,2004,https://boxd.it/aeKn8l,5,,just rip my heart out and freaking kill me UGH,,2025-07-06
2025-07-11,Jean de Florette,1986,https://boxd.it/ahEBfZ,4,,pretty,,2025-07-10
2025-07-16,Superman,2025,https://boxd.it/am3l6X,3.5,,super dog,,2025-07-16
2025-08-05,The Fantastic 4: First Steps,2025,https://boxd.it/aCkPSZ,1,,the most predictable movie i’ve ever seen omg,,2025-08-05
2025-08-14,F1,2025,https://boxd.it/aJ6LtV,3,Yes,can’t believe i’ve seen this twice,,2025-08-14
2025-08-19,Grave of the Fireflies,1988,https://boxd.it/aMraW1,4,,really upsetting,,2025-08-19
2025-09-05,The Phoenician Scheme,2025,https://boxd.it/aYuQ8V,2,,didn’t care for,,2025-09-05
2025-09-10,To All the Boys I've Loved Before,2018,https://boxd.it/b1mUD5,1.5,,why am i watching this,,2025-09-09
2025-09-17,The Wrong Paris,2025,https://boxd.it/b61xWB,1,,yea i’ve reached a new low what am i even watching,,2025-09-17
2025-09-23,The Conjuring: Last Rites,2025,https://boxd.it/b9FXpZ,3,,i’m really not cut out for watching horror movies in cinema,,2025-09-23
2025-10-21,Twilight,2008,https://boxd.it/brcPdl,4,Yes,fire,,2025-10-14
2025-11-05,He's Just Not That Into You,2009,https://boxd.it/bBuncb,4.5,Yes,I LOVE THIS MOVIEEEE,,2025-11-03
2025-11-05,Crazy Rich Asians,2018,https://boxd.it/bBuo4d,5,Yes,I LOOOVEEE THIS MOVIEEEEEE,,2025-11-04
2025-11-24,Frankenstein,2025,https://boxd.it/bOAsM3,3,,mia goth is ethereal,,2025-11-23
2025-12-01,Materialists,2025,https://boxd.it/bTvySB,2,,this movie is not good,,2025-11-30
