Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-11-04,Avengers: Endgame,2019,https://boxd.it/7JdkWh,4,Yes,,2024-11-04
2024-11-05,Promising Young Woman,2020,https://boxd.it/7Jhmjf,3.5,,,2024-11-04
2024-11-05,Fly Me to the Moon,2024,https://boxd.it/7JlJwT,3.5,,,2024-11-05
2024-11-09,Anora,2024,https://boxd.it/7KZuez,3.5,,,2024-11-08
2024-11-11,Hidden Figures,2016,https://boxd.it/7M3tAh,4,,,2024-11-10
2024-11-18,Palm Springs,2020,https://boxd.it/7PBR6Z,4.5,Yes,,2024-11-17
2024-11-25,Gladiator,2000,https://boxd.it/7T9O55,4.5,,,2024-11-24
2024-11-29,Gladiator II,2024,https://boxd.it/7V60Ij,3.5,,,2024-11-28
2024-12-01,Our Little Secret,2024,https://boxd.it/7W7TK1,1,,,2024-11-30
2024-12-01,Hot Frosty,2024,https://boxd.it/7WzqVF,0.5,,,2024-12-01
2024-12-01,This Is the End,2013,https://boxd.it/7WFTWT,3,Yes,,2024-12-01
2024-12-04,Red One,2024,https://boxd.it/7XN8NF,2,,,2024-12-03
2024-12-05,Wicked,2024,https://boxd.it/7YctGl,2.5,,,2024-12-04
2024-12-05,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/7YtFDR,4,,,2024-12-05
2024-12-10,Irish Wish,2024,https://boxd.it/817Lwl,1.5,,,2024-12-10
2024-12-11,Before Sunrise,1995,https://boxd.it/81dmD9,5,Yes,,2024-12-10
2024-12-16,Moana 2,2024,https://boxd.it/84flJh,3,,,2024-12-16
2024-12-19,Moana,2016,https://boxd.it/85Iwvd,4,Yes,,2024-12-19
2024-12-20,My Old Ass,2024,https://boxd.it/85SXyj,4,,,2024-12-19
2024-12-20,Bodies Bodies Bodies,2022,https://boxd.it/85X2I7,2.5,,,2024-12-20
2024-12-21,Carry-On,2024,https://boxd.it/86UPF5,1.5,,,2024-12-21
2024-12-22,The Six Triple Eight,2024,https://boxd.it/870xuv,2.5,,,2024-12-21
2025-01-03,Conclave,2024,https://boxd.it/8hgJSr,4,,,2025-01-02
2025-01-04,American Beauty,1999,https://boxd.it/8inTE3,3.5,,,2025-01-04
2025-01-11,Interstellar,2014,https://boxd.it/8qkUg3,5,Yes,,2025-01-11
2025-01-13,High School Musical,2006,https://boxd.it/8srjqR,4,Yes,,2025-01-12
2025-03-01,Babygirl,2024,https://boxd.it/8YMm95,3,,,2025-03-01
2025-03-02,Eyes Wide Shut,1999,https://boxd.it/8ZloC9,2,,,2025-03-01
2025-03-06,Anora,2024,https://boxd.it/92wx8B,4,Yes,,2025-03-06
2025-04-02,The Other Boleyn Girl,2008,https://boxd.it/9i6vYH,2.5,,,2025-04-01
2025-04-04,The Life List,2025,https://boxd.it/9j6MlL,1,,,2025-04-03
2025-04-05,The Hunger Games,2012,https://boxd.it/9jA8J9,5,Yes,,2025-04-04
2025-04-29,The Hunger Games: Catching Fire,2013,https://boxd.it/9xXaLD,5,Yes,,2025-04-04
