Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-10-21,Set It Up,2018,https://boxd.it/7BOAlj,5,Yes,,2024-10-21
2024-10-22,"Love, Guaranteed",2020,https://boxd.it/7CkwPN,1.5,,,2024-10-22
2024-11-03,Agatha All Along,2024,https://boxd.it/7I2xuJ,4,,,2024-11-02
2024-11-05,Time Cut,2024,https://boxd.it/7JJaUT,2,,,2024-11-05
2024-11-24,Wicked,2024,https://boxd.it/7T0S1X,4,,,2024-11-24
2024-12-01,Daddy's Home,2015,https://boxd.it/7W7ZTt,3,,,2024-11-29
2024-12-01,Daddy's Home 2,2017,https://boxd.it/7W80zz,2.5,,,2024-11-30
2024-12-04,Red One,2024,https://boxd.it/7XN8qr,4,,,2024-12-03
2024-12-05,What's Your Number?,2011,https://boxd.it/7YctFd,5,Yes,,2024-12-03
2024-12-05,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/7YcuH5,4,,,2024-12-04
2024-12-16,Love Actually,2003,https://boxd.it/847SHx,4,,,2024-12-16
2024-12-18,Carry-On,2024,https://boxd.it/85k4tF,3,,,2024-12-17
2024-12-25,The Fall Guy,2024,https://boxd.it/89JfQ7,3.5,,,2024-12-25
2025-01-01,Scream VI,2023,https://boxd.it/8fkB07,4,Yes,,2024-12-27
2025-01-01,Cars,2006,https://boxd.it/8fkye1,5,Yes,,2024-12-31
2025-01-01,Mufasa: The Lion King,2024,https://boxd.it/8fZIAt,3,,,2025-01-01
2025-01-02,The Help,2011,https://boxd.it/8gQDDN,4,Yes,,2025-01-01
2025-01-04,Phineas and Ferb the Movie: Candace Against the Universe,2020,https://boxd.it/8iTV3d,4,,,2025-01-04
2025-01-23,Kingsman: The Secret Service,2014,https://boxd.it/8zIXTh,3.5,,,2025-01-21
2025-01-23,The Cheetah Girls,2003,https://boxd.it/8zIYvZ,3,,,2025-01-22
2025-03-06,My Fault: London,2025,https://boxd.it/92d91t,2.5,,,2025-03-03
2025-03-06,Bring It On,2000,https://boxd.it/92daXN,4,Yes,,2025-03-05
2025-03-06,Tag,2018,https://boxd.it/92dbsB,4,,,2025-03-05
2025-04-01,Adolescence,2025,https://boxd.it/9hPjN9,5,,,2025-03-16
2025-03-20,You're Cordially Invited,2025,https://boxd.it/9aTOmj,2.5,,,2025-03-19
2025-03-22,I Know What You Did Last Summer,1997,https://boxd.it/9bU9op,3,,,2025-03-21
2025-04-01,Pitch Perfect,2012,https://boxd.it/9hPspP,5,Yes,,2025-03-25
2025-04-01,Cruel Intentions,1999,https://boxd.it/9hPn93,3.5,Yes,,2025-03-28
2025-04-02,The Life List,2025,https://boxd.it/9ibyQr,3,,,2025-03-31
2025-05-08,21 Jump Street,2012,https://boxd.it/9DdrwH,3.5,,,2025-04-04
2025-04-21,The Life List,2025,https://boxd.it/9tASHt,3,Yes,,2025-04-21
2025-04-22,Mike and Dave Need Wedding Dates,2016,https://boxd.it/9tURUB,4,,,2025-04-21
2025-05-02,A Minecraft Movie,2025,https://boxd.it/9zxQ9R,3,,,2025-05-01
2025-05-03,The Sisterhood of the Traveling Pants,2005,https://boxd.it/9AhulN,3,,,2025-05-01
2025-05-03,The Sisterhood of the Traveling Pants 2,2008,https://boxd.it/9AhCm5,2.5,,,2025-05-02
2025-05-06,Thunderbolts*,2025,https://boxd.it/9CfPn5,4,,,2025-05-05
2025-05-07,Good Will Hunting,1997,https://boxd.it/9D7sFN,5,Yes,,2025-05-07
2025-05-16,Couples Retreat,2009,https://boxd.it/9HKHiD,3.5,,,2025-05-15
2025-06-26,Woman of the Hour,2023,https://boxd.it/a7mhuT,4,,,2025-06-25
2025-06-26,KPop Demon Hunters,2025,https://boxd.it/a7Crrd,3.5,,,2025-06-25
2025-07-06,One of Them Days,2025,https://boxd.it/aex5IJ,3.5,,,2025-06-28
2025-07-16,Z-O-M-B-I-E-S 4: Dawn of the Vampires,2025,https://boxd.it/alrIBX,1.5,,,2025-07-11
2025-07-16,Superman,2025,https://boxd.it/am49C5,5,,,2025-07-16
2025-08-03,Superman,2025,https://boxd.it/aAvpah,5,Yes,,2025-07-25
2025-07-27,Jurassic World Rebirth,2025,https://boxd.it/auJ0rL,3.5,,,2025-07-27
2025-07-30,Death of a Unicorn,2025,https://boxd.it/awNYOL,2.5,,,2025-07-27
2025-07-30,Twisters,2024,https://boxd.it/awO0vB,4,,,2025-07-29
2025-08-03,Bridget Jones: Mad About the Boy,2025,https://boxd.it/aAvlvl,2.5,,,2025-08-02
2025-08-08,Sirens,2025,https://boxd.it/aEpDI7,3.5,,,2025-08-08
2025-08-22,F1,2025,https://boxd.it/aOUBC9,5,,,2025-08-22
2025-09-05,Materialists,2025,https://boxd.it/aXZzLp,2.5,,,2025-09-04
2025-09-16,The Seat,2025,https://boxd.it/b5v5Mz,3.5,,,2025-09-04
2025-09-09,Unknown Number: The High School Catfish,2025,https://boxd.it/b1j1Ij,2,,,2025-09-09
2025-09-15,Escape Room,2019,https://boxd.it/b4mMS9,4,Yes,,2025-09-13
2025-09-15,Cars,2006,https://boxd.it/b4mPkp,5,Yes,,2025-09-13
2025-09-15,Escape Room: Tournament of Champions,2021,https://boxd.it/b4PnRN,4.5,Yes,,2025-09-15
2025-09-20,The Wrong Paris,2025,https://boxd.it/b7Edth,2.5,,,2025-09-20
2025-10-07,When Harry Met Sally...,1989,https://boxd.it/bhMSP5,4,,,2025-10-06
2025-10-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/bif3k9,4.5,,,2025-10-06
2025-11-02,Set It Up,2018,https://boxd.it/bz5xIj,5,Yes,,2025-11-01
2025-11-18,A Very Jonas Christmas Movie,2025,https://boxd.it/bKqLbT,2,,,2025-11-17
2025-11-23,Wicked: For Good,2025,https://boxd.it/bOjLFh,2.5,,,2025-11-23
2025-11-30,Now You See Me: Now You Don't,2025,https://boxd.it/bSrf8n,3.5,,,2025-11-29
2025-12-04,Eternity,2025,https://boxd.it/bVbstN,5,,,2025-12-03
2025-12-06,Zootopia 2,2025,https://boxd.it/bWnw9F,4,,,2025-12-05
